"","DBN","TotalEnrollment","ENI","PercentBlack","PercentSWD","PercentPoverty","self_contained","AllStudents_CA","AllStudents_PA","SWD_CA","SWD_PA","gifted","gifted_only","treatment"
"1","01M015",190,0.89,0.274,0.258,0.847,0,20.8,93.8,28.6,92.3,1,1,1
"2","01M019",257,0.679,0.191,0.35,0.77,1,39.6,90.9,31.6,91.5,0,0,0
"3","01M020",497,0.8,0.103,0.237,0.736,1,21.7,94.4,42.9,91.9,0,0,0
"4","01M034",333,0.937,0.318,0.372,0.979,0,32.7,91.2,45,88.9,0,0,1
"5","01M063",203,0.762,0.182,0.33,0.818,0,18.2,94.4,28.6,92.2,0,0,1
"6","01M064",245,0.882,0.208,0.298,0.922,0,38.7,91.1,54.5,87.7,0,0,1
"7","01M110",379,0.58,0.098,0.127,0.625,1,20.4,94.2,36.4,90.9,1,0,0
"8","01M134",297,0.901,0.215,0.418,0.919,1,29.1,92.2,32,91.3,0,0,0
"9","01M140",371,0.913,0.124,0.329,0.884,1,58.6,89.2,54.5,88.6,0,0,0
"10","01M142",340,0.911,0.126,0.374,0.976,1,20.4,93.8,15,94.4,0,0,0
"11","01M184",684,0.653,0.037,0.165,0.68,0,0,98.2,0,98.3,0,0,1
"12","01M188",433,0.954,0.293,0.312,0.921,1,45.7,89.9,57.1,89.2,0,0,0
"13","01M315",318,0.369,0.053,0.176,0.27,0,12,95.5,11.1,95.9,0,0,1
"14","01M361",315,0.505,0.092,0.232,0.457,0,22,92.5,37.5,91.4,0,0,1
"15","01M363",304,0.478,0.092,0.227,0.438,0,15.7,94.6,45.5,90.9,0,0,1
"16","01M364",355,0.554,0.113,0.29,0.546,0,18.2,93.7,27.3,92.9,0,0,1
"17","01M539",1734,0.282,0.077,0.081,0.239,0,3.3,96.7,0,96,1,1,1
"18","02M001",318,0.843,0.176,0.283,0.808,1,21.2,94.2,31.6,91.5,0,0,0
"19","02M002",552,0.91,0.053,0.228,0.966,1,8.1,96.9,18.2,94.4,0,0,0
"20","02M003",753,0.202,0.057,0.208,0.219,1,13.9,94.3,19.2,93.5,0,0,0
"21","02M006",694,0.124,0.024,0.17,0.12,0,4.1,96,5.3,95.9,0,0,1
"22","02M011",923,0.344,0.062,0.148,0.3,0,12.9,95,28.6,92.3,1,1,1
"23","02M033",650,0.499,0.18,0.155,0.482,1,24.2,93.6,40.9,91.1,1,0,0
"24","02M040",673,0.164,0.015,0.174,0.1,0,6,96.1,9.1,95.9,0,0,1
